ha,-159.0,-134.2,-132.9,-132.8,-116.3,-113.7,-102.3,-98.6,-91.0,-86.2,-86.1,-81.6,-75.6,-75.5,-73.6,-66.6,-66.3,-60.1,-58.0,-54.4,-50.5,-49.1,-44.3,-43.9,-43.8,-39.6,-37.7,-35.3,-31.8,-31.1,-27.1,-26.5,-23.2,-21.2,-19.4,-16.5,-15.6,-11.9,-8.1,-7.6,-4.2,-3.5,-0.4,0.5,3.6,4.3,7.7,8.2,12.0,12.1,15.8,16.7,19.5,21.4,23.3,23.4,26.6,27.3,31.3,32.0,35.5,37.8,39.7,44.0,44.4,49.2,49.3,50.7,54.6,58.2,60.2,66.5,66.7,73.7,73.8,75.7,81.7,81.8,91.1,91.2,98.8,102.4,116.5,134.3,134.4,159.2
-19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.7040430000000005e-08,-5.0087699999999995e-08,,-3.8228309999999996e-08,,-2.6531990000000002e-08,,-1.4655739999999999e-08,,-2.326699e-09,,9.946268e-09,,2.2886580000000003e-08,3.5629629999999997e-08,,4.8257180000000004e-08,,6.088647e-08,,7.343411999999999e-08,7.341193e-08,,8.571636e-08,9.766174000000001e-08,,1.094368e-07,,1.205446e-07,,1.322494e-07,1.436553e-07,1.4367070000000001e-07,,1.554258e-07,,1.670081e-07,,1.794491e-07,,1.919802e-07,,2.0484729999999998e-07,2.0486999999999998e-07,2.185114e-07,,,2.330303e-07,2.486061e-07,2.650638e-07,2.65125e-07,2.8363559999999994e-07
-23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.013838e-08,-6.540112e-08,,-5.3837510000000005e-08,,-4.1794400000000005e-08,,-2.992025e-08,,-1.793402e-08,,-5.337629e-09,,7.153983e-09,,2.032918e-08,3.317216e-08,,4.604527e-08,,5.884371e-08,,7.15877e-08,7.157342e-08,,8.412181e-08,9.640369e-08,,1.085239e-07,,1.1991019999999998e-07,,1.3178800000000002e-07,1.432465e-07,1.4326229999999998e-07,,1.5511629999999997e-07,,1.668953e-07,,1.7938870000000002e-07,,1.919312e-07,,2.0475439999999998e-07,2.048208e-07,2.184889e-07,2.1852699999999998e-07,,2.330207e-07,2.4860020000000003e-07,2.650829e-07,2.6510990000000003e-07,2.8362579999999996e-07
-27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.284076999999999e-08,-8.137799e-08,,-6.892728999999999e-08,,-5.7251880000000004e-08,,-4.5099720000000004e-08,,-3.3056970000000006e-08,,-2.0837689999999998e-08,,-8.087434e-09,,4.582045e-09,,1.7929130000000003e-08,3.095586e-08,,4.3978120000000004e-08,,5.688155e-08,,6.985904e-08,6.978426e-08,,8.255276e-08,9.507035e-08,,1.0751129999999999e-07,,1.1923589999999998e-07,,1.312658e-07,1.429171e-07,1.429154e-07,,1.548986e-07,,1.666889e-07,,1.792509e-07,,1.9177629999999996e-07,,2.047145e-07,2.0477439999999997e-07,2.184617e-07,2.184891e-07,,2.330539e-07,2.486618e-07,2.6512899999999996e-07,2.651482e-07,2.837053e-07
-31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.530996e-08,,-8.477757000000001e-08,,-7.225216e-08,,-6.036264e-08,,-4.807224e-08,,-3.585715e-08,,-2.3500400000000004e-08,,-1.057605e-08,,2.227787e-09,,1.571624e-08,2.8879029999999996e-08,,4.205587e-08,,5.5053460000000004e-08,,6.812253e-08,6.812639999999999e-08,,8.093978e-08,9.361677e-08,,1.0634039999999999e-07,,1.183425e-07,,1.307619e-07,,1.4251720000000002e-07,,1.546236e-07,,1.6649229999999998e-07,,1.791204e-07,,1.9171329999999997e-07,,2.0468620000000002e-07,2.04735e-07,2.183837e-07,2.185315e-07,,2.329896e-07,2.486603e-07,2.6515599999999997e-07,2.6519990000000003e-07,2.837479e-07
-35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0789509999999999e-07,-1.001826e-07,,,-8.79768e-08,,-7.527988000000001e-08,,-6.331265000000001e-08,,-5.085998e-08,,-3.8510370000000004e-08,,-2.588822e-08,,-1.2888159999999999e-08,,5.090314e-11,,1.360366e-08,2.695806e-08,,4.015029e-08,,5.330372000000001e-08,,6.644377999999999e-08,6.643679e-08,,7.943767999999999e-08,9.218942999999999e-08,,1.050605e-07,,1.1732e-07,,1.300574e-07,1.421626e-07,1.421293e-07,,1.543672e-07,,1.663447e-07,,1.790007e-07,,1.916637e-07,,2.0464849999999998e-07,2.0470570000000003e-07,2.1845860000000002e-07,2.184935e-07,,2.330382e-07,2.48766e-07,2.65203e-07,2.65279e-07,2.837988e-07
-39.7,,,,,,,,,,,,,,,,,,,,,,,,,,-1.197847e-07,-1.1583789999999999e-07,,-1.030995e-07,,,-9.078371000000001e-08,,-7.806096000000001e-08,,-6.584972e-08,,-5.328918e-08,,-4.080227e-08,,-2.812568e-08,,-1.4943030000000003e-08,,-1.891111e-09,,1.1761900000000001e-08,2.516678e-08,,3.8563370000000005e-08,,5.1729339999999995e-08,,6.503377e-08,6.503364e-08,,7.806025e-08,9.096396000000001e-08,,1.038678e-07,,1.1618190000000001e-07,,1.291436e-07,1.415797e-07,1.415391e-07,,1.5403039999999998e-07,,1.6611279999999996e-07,,1.7892070000000001e-07,,1.9158170000000002e-07,,2.0461359999999999e-07,2.046367e-07,2.184265e-07,2.1849540000000002e-07,,2.33082e-07,2.487292e-07,2.652647e-07,2.6526670000000004e-07,2.838233e-07
-44.4,,,,,,,,,,,,,,,,,,,,,,,-1.323247e-07,-1.3148199999999999e-07,,,-1.1879430000000001e-07,,-1.059574e-07,,,-9.352064e-08,,-8.06476e-08,,-6.835549999999999e-08,,-5.558651e-08,,-4.2965550000000005e-08,,-3.017647e-08,,-1.686014e-08,,-3.7247979999999996e-09,,1.0079879999999998e-08,2.358356e-08,,3.7020199999999994e-08,,5.0205029999999995e-08,,6.35672e-08,6.356299e-08,,7.663360000000001e-08,8.95834e-08,,1.026905e-07,,1.151178e-07,,1.281771e-07,1.407848e-07,1.407815e-07,,1.5360350000000002e-07,,1.6586939999999998e-07,,1.787981e-07,,1.915021e-07,,2.0462789999999998e-07,2.0462710000000002e-07,2.184423e-07,2.1842929999999998e-07,,2.330742e-07,2.487736e-07,2.652526e-07,2.654552e-07,2.8397749999999996e-07
-49.3,,,,,,,,,,,,,,,,,,,,,,-1.4448129999999998e-07,,-1.3427210000000002e-07,-1.341608e-07,,-1.213433e-07,,-1.0851569999999999e-07,,,-9.588931e-08,,-8.293888000000001e-08,,-7.049612e-08,,-5.766533e-08,,-4.496062e-08,,-3.192016e-08,,-1.859266e-08,,-5.3539380000000004e-09,,8.562281999999998e-09,2.2067330000000004e-08,,3.556022e-08,,4.8908290000000003e-08,,6.22436e-08,6.2208e-08,,7.535035999999999e-08,8.843442e-08,,1.0161760000000001e-07,,1.141339e-07,,1.2722950000000002e-07,1.399869e-07,1.4000360000000002e-07,,1.529607e-07,,1.6550420000000003e-07,,1.785489e-07,,1.9142399999999998e-07,,2.0450329999999996e-07,2.045463e-07,2.183996e-07,2.184923e-07,,2.3313289999999998e-07,2.488003e-07,2.6534809999999997e-07,2.6539009999999996e-07,2.839024e-07
-54.6,,,,,,,,,,,,,,,,,,,,-1.569041e-07,-1.4961720000000002e-07,,,-1.366532e-07,-1.36678e-07,,-1.2374319999999998e-07,,-1.107179e-07,,,-9.806682000000001e-08,,-8.491131e-08,,-7.24562e-08,,-5.953564e-08,,-4.6636499999999995e-08,,-3.362052e-08,,-2.0103490000000002e-08,,-6.831809e-09,,7.132569000000001e-09,2.070727e-08,,3.427999e-08,,4.7640260000000005e-08,,6.101197e-08,6.091091e-08,,7.414225999999999e-08,8.726503e-08,,1.004704e-07,,1.129957e-07,,1.2623849999999998e-07,1.390688e-07,1.390136e-07,,1.5211089999999999e-07,,1.6497450000000002e-07,,1.782586e-07,,1.912959e-07,,2.044464e-07,2.0449679999999997e-07,2.182762e-07,2.18385e-07,,2.329968e-07,2.487701e-07,2.652205e-07,2.6527309999999996e-07,2.838014e-07
-60.3,,,,,,,,,,,,,,,,,,-1.690663e-07,-1.655411e-07,,-1.518615e-07,,,-1.388371e-07,-1.3880860000000001e-07,,-1.258393e-07,,-1.126355e-07,,,-9.995848999999999e-08,,-8.676203999999998e-08,,-7.416572999999999e-08,,-6.100494e-08,,-4.818080999999999e-08,,-3.5099110000000004e-08,,-2.156476e-08,,-8.050983e-09,,5.886199000000001e-09,1.954866e-08,,3.30658e-08,,4.648201999999999e-08,,5.994276e-08,5.993409e-08,,7.308387e-08,8.621532e-08,,9.934330000000001e-08,,1.119684e-07,,1.253018e-07,1.381496e-07,1.381536e-07,,1.5132500000000001e-07,,1.6424600000000003e-07,,1.777732e-07,,1.9112660000000002e-07,,2.0429400000000002e-07,2.043514e-07,2.182795e-07,2.183076e-07,,2.3299350000000001e-07,2.487867e-07,2.6517620000000003e-07,2.652896e-07,2.837783e-07
