,hb,ha,hm
1599,-21,-102,-9.284957e-08
1601,-16,-102,-7.99286e-08
1603,-11,-102,-6.659505e-08
1605,-7,-102,-5.3356250000000005e-08
1607,-3,-102,-3.9967389999999995e-08
1609,0,-102,-2.611552e-08
1611,4,-102,-1.254219e-08
1613,8,-102,1.6581020000000001e-09
1615,12,-102,1.549107e-08
1617,15,-102,2.912016e-08
1619,19,-102,4.263526000000001e-08
1621,23,-102,5.6011699999999996e-08
1623,27,-102,6.93765e-08
1625,31,-102,8.261371000000001e-08
1627,35,-102,9.594103e-08
1629,39,-102,1.0854619999999998e-07
1631,44,-102,1.2183119999999999e-07
1633,49,-102,1.348121e-07
1635,54,-102,1.482226e-07
1637,60,-102,1.6123379999999996e-07
1639,66,-102,1.7528549999999998e-07
1641,73,-102,1.890672e-07
1643,81,-102,2.030602e-07
1645,91,-102,2.177318e-07
1647,102,-102,2.330161e-07
1649,116,-102,2.491849e-07
1651,134,-102,2.65928e-07
1653,159,-102,2.845883e-07
1656,-113,-116,-2.505844e-07
1658,-98,-116,-2.3426070000000003e-07
1660,-86,-116,-2.18794e-07
1662,-75,-116,-2.037649e-07
1664,-66,-116,-1.8919509999999999e-07
1666,-58,-116,-1.748612e-07
1668,-50,-116,-1.608217e-07
1670,-43,-116,-1.472348e-07
1672,-37,-116,-1.3392029999999997e-07
1674,-31,-116,-1.203234e-07
1676,-26,-116,-1.0717510000000001e-07
1678,-21,-116,-9.357382000000001e-08
1680,-16,-116,-8.056685e-08
1682,-11,-116,-6.722411e-08
1684,-7,-116,-5.374918e-08
1686,-3,-116,-4.052729e-08
1688,0,-116,-2.6642450000000002e-08
1690,4,-116,-1.299075e-08
